Date,Open,High,Low,Close,Adj Close,Volume
2018-11-21,2.430000,2.550000,2.427000,2.470000,2.470000,468300
2018-11-23,2.470000,2.550000,2.400000,2.530000,2.530000,233700
2018-11-26,2.560000,2.570000,2.337000,2.349000,2.349000,446300
2018-11-27,2.388000,2.420000,2.280000,2.388000,2.388000,407700
2018-11-28,2.403000,2.503000,2.330000,2.480000,2.480000,611300
2018-11-29,2.480000,2.500000,2.400000,2.450000,2.450000,367400
2018-11-30,2.410000,2.500000,2.410000,2.480000,2.480000,266700
2018-12-03,2.520000,2.657000,2.330000,2.400000,2.400000,850600
2018-12-04,2.460000,2.460000,2.150000,2.210000,2.210000,857900
2018-12-06,2.050000,2.200000,1.985000,2.100000,2.100000,1063900
2018-12-07,2.260000,2.400000,2.220000,2.371000,2.371000,925500
2018-12-10,2.390000,2.430000,2.240000,2.290000,2.290000,592500
2018-12-11,2.355000,2.360000,2.240000,2.310000,2.310000,378500
2018-12-12,2.380000,2.380000,2.255000,2.260000,2.260000,649500
2018-12-13,2.421000,2.421000,2.130000,2.170000,2.170000,549800
2018-12-14,2.110000,2.270000,2.110000,2.220000,2.220000,394300
2018-12-17,2.192000,2.330000,2.060000,2.090000,2.090000,593800
2018-12-18,2.100000,2.134000,1.950000,2.000000,2.000000,878700
2018-12-19,1.996000,2.050000,1.820000,1.865000,1.865000,749700
2018-12-20,1.910000,1.910000,1.730000,1.789000,1.789000,806400
2018-12-21,1.800000,1.850000,1.730000,1.806000,1.806000,457800
2018-12-24,1.830000,1.830000,1.700000,1.738000,1.738000,402700
2018-12-26,1.610000,1.800000,1.610000,1.720000,1.720000,674800
2018-12-27,1.660000,1.760000,1.607000,1.630000,1.630000,658500
2018-12-28,1.691000,1.941000,1.640000,1.850000,1.850000,944900
2018-12-31,1.990000,2.000000,1.800000,1.810000,1.810000,829200
2019-01-02,1.830000,2.110000,1.750000,1.960000,1.960000,986600
2019-01-03,1.963000,2.109000,1.894000,1.930000,1.930000,1000800
2019-01-04,2.030000,2.030000,1.920000,1.950000,1.950000,630300
2019-01-07,1.987000,2.030000,1.910000,1.920000,1.920000,854900
2019-01-08,1.930000,1.958000,1.809000,1.850000,1.850000,604900
2019-01-09,1.861000,2.030000,1.821000,1.982000,1.982000,957100
2019-01-10,2.010000,2.140000,1.945000,2.090000,2.090000,1437400
2019-01-11,2.078000,2.340000,2.060000,2.300000,2.300000,1879700
2019-01-14,2.323000,2.400000,2.200000,2.300000,2.300000,1365100
2019-01-15,2.328000,2.350000,2.220000,2.220000,2.220000,924400
2019-01-16,2.260000,2.270000,2.160000,2.259000,2.259000,736000
2019-01-17,2.183000,2.268000,2.170000,2.200000,2.200000,439300
2019-01-18,2.212000,2.250000,2.085000,2.140000,2.140000,608200
2019-01-22,2.220000,2.290000,2.121000,2.212000,2.212000,848600
2019-01-23,2.244000,2.360000,2.185000,2.290000,2.290000,824500
2019-01-24,2.370000,2.640000,2.315000,2.620000,2.620000,1709200
2019-01-25,2.700000,2.900000,2.700000,2.820000,2.820000,2066900
2019-01-28,2.836000,3.130000,2.750000,3.019000,3.019000,2524000
2019-01-29,3.105000,3.250000,2.790000,2.850000,2.850000,2189800
2019-01-30,2.850000,2.870000,2.720000,2.730000,2.730000,1298300
2019-01-31,2.800000,2.800000,2.610000,2.680000,2.680000,1215400
2019-02-01,2.673000,2.910000,2.630000,2.794000,2.794000,1950700
2019-02-04,2.750000,2.970000,2.750000,2.870000,2.870000,1721000
2019-02-05,2.860000,3.000000,2.747000,2.800000,2.800000,1088700
2019-02-06,2.750000,2.800000,2.480000,2.560000,2.560000,1390000
2019-02-07,2.550000,2.630000,2.480000,2.588000,2.588000,607500
2019-02-08,2.730000,2.730000,2.550000,2.550000,2.550000,745000
2019-02-11,2.500000,2.580000,2.400000,2.400000,2.400000,986500
2019-02-12,2.329000,2.578000,2.300000,2.500000,2.500000,715900
2019-02-13,2.530000,2.690000,2.500000,2.680000,2.680000,2750900
2019-02-14,2.698000,2.830000,2.650000,2.806000,2.806000,1065800
2019-02-15,2.990000,2.990000,2.799000,2.850000,2.850000,1137500
2019-02-19,2.850000,2.900000,2.700000,2.730000,2.730000,955900
2019-02-20,2.650000,2.830000,2.650000,2.800000,2.800000,706200
2019-02-21,2.900000,2.900000,2.780000,2.810000,2.810000,697000
2019-02-22,2.853000,2.900000,2.750000,2.811000,2.811000,780800
2019-02-25,2.910000,2.910000,2.809000,2.910000,2.910000,1340600
2019-02-26,2.923000,3.080000,2.910000,3.079000,3.079000,2088300
2019-02-27,3.140000,3.140000,2.930000,2.980000,2.980000,1556800
2019-02-28,2.962000,3.062000,2.930000,3.030000,3.030000,1075700
2019-03-01,3.029000,3.330000,3.010000,3.290000,3.290000,2340200
2019-03-04,3.313000,3.430000,3.030000,3.140000,3.140000,3152700
2019-03-05,3.146000,3.340000,3.110000,3.330000,3.330000,1788700
2019-03-06,3.330000,3.450000,3.248000,3.310000,3.310000,2007200
2019-03-07,3.373000,3.460000,3.130000,3.176000,3.176000,1442300
2019-03-08,3.080000,3.181000,2.998000,3.180000,3.180000,1164100
2019-03-11,3.217000,3.300000,3.200000,3.272000,3.272000,810100
2019-03-12,3.289000,3.350000,3.210000,3.220000,3.220000,902900
2019-03-13,3.240000,3.329000,3.240000,3.280000,3.280000,870900
2019-03-14,3.350000,3.350000,3.190000,3.310000,3.310000,578000
2019-03-15,3.266000,3.420000,3.260000,3.410000,3.410000,1089200
2019-03-18,3.450000,3.880000,3.350000,3.820000,3.820000,3168200
2019-03-19,3.990000,4.380000,3.930000,4.120000,4.120000,4616100
2019-03-20,3.832000,3.990000,3.700000,3.810000,3.810000,3529400
2019-03-21,3.700000,3.880000,3.550000,3.750000,3.750000,2520300
2019-03-22,3.653000,3.728000,3.540000,3.570000,3.570000,1661200
2019-03-25,3.700000,3.780000,3.546000,3.650000,3.650000,1285500
2019-03-26,3.810000,3.810000,3.630000,3.670000,3.670000,937200
2019-03-27,3.665000,3.790000,3.327000,3.470000,3.470000,1986600
2019-03-28,3.488000,3.620000,3.320000,3.550000,3.550000,1161400
2019-03-29,3.596000,3.690000,3.550000,3.616000,3.616000,881500
2019-04-01,3.670000,3.670000,3.547000,3.620000,3.620000,772700
2019-04-02,3.630000,3.650000,3.490000,3.530000,3.530000,796500
2019-04-03,3.485000,3.561000,3.370000,3.377000,3.377000,1062100
2019-04-04,3.371000,3.440000,3.140000,3.180000,3.180000,1933700
2019-04-05,3.210000,3.350000,3.170000,3.270000,3.270000,1262300
2019-04-08,3.390000,3.390000,3.190000,3.210000,3.210000,760500
2019-04-09,3.210000,3.290000,3.030000,3.080000,3.080000,1088100
2019-04-10,3.080000,3.300000,3.030000,3.290000,3.290000,773300
2019-04-11,3.276000,3.350000,3.100000,3.120000,3.120000,867500
2019-04-12,3.156000,3.298000,3.143000,3.152000,3.152000,606100
2019-04-15,3.140000,3.200000,2.914000,2.970000,2.970000,1354400
2019-04-16,3.054000,3.140000,2.950000,2.970000,2.970000,622800
2019-04-17,3.005000,3.200000,2.946000,3.010000,3.010000,798600
2019-04-18,3.010000,3.050000,2.930000,2.941000,2.941000,780900
2019-04-22,2.940000,3.135000,2.940000,3.133000,3.133000,1076900
2019-04-23,3.150000,3.200000,3.088000,3.135000,3.135000,646200
2019-04-24,3.050000,3.230000,3.050000,3.200000,3.200000,617800
2019-04-25,3.250000,3.270000,3.087000,3.100000,3.100000,523700
2019-04-26,3.230000,3.230000,3.095000,3.130000,3.130000,334700
2019-04-29,3.100000,3.315000,3.090000,3.260000,3.260000,803900
2019-04-30,3.300000,3.395000,3.235000,3.350000,3.350000,854200
2019-05-01,3.360000,3.460000,3.285000,3.290000,3.290000,669100
2019-05-02,3.170000,3.310000,3.069000,3.148000,3.148000,719900
2019-05-03,3.290000,3.294000,3.174000,3.240000,3.240000,508300
2019-05-06,3.140000,3.250000,3.090000,3.230000,3.230000,466500
2019-05-07,3.150000,3.240000,3.130000,3.170000,3.170000,579000
2019-05-08,3.110000,3.230000,3.110000,3.172000,3.172000,434800
